Name,Party,State,Birth_Year,Children_Count,Race,Gender,V1,V2,V3,V4,AIPAC,CongressDistrict,PVI,JewishPop,AIPAC_norm,Age_2024,CD_CODE,V1_pro-Israel,V1_pro-Palestine,V2_pro-Israel,V2_pro-Palestine,V3_pro-Israel,V3_pro-Palestine,V4_pro-Israel,V4_pro-Palestine,CD_ID,Own_Israel_V1,Own_Palestine_V1,Neighbor_Israel_V1,Neighbor_Palestine_V1,Region_Israel_V1,Region_Palestine_V1,Own_Israel_V2,Own_Palestine_V2,Neighbor_Israel_V2,Neighbor_Palestine_V2,Region_Israel_V2,Region_Palestine_V2,Own_Israel_V3,Own_Palestine_V3,Neighbor_Israel_V3,Neighbor_Palestine_V3,Region_Israel_V3,Region_Palestine_V3,Own_Israel_V4,Own_Palestine_V4,Neighbor_Israel_V4,Neighbor_Palestine_V4,Region_Israel_V4,Region_Palestine_V4,CD_Total_Students,CD_Men,CD_Women,CD_White,CD_Black,CD_Hispanic,CD_Asian,CD_NativeAm,CD_Pacific,CD_Multi,CD_Intl,Neighbor_Students,Stance_UpTo_V1,Stance_UpTo_V2,Stance_UpTo_V3,Average_Stance_Israel
Michelle Steel,Rep,California,1955,2,Asian,Male,1,1,1,1,526809,CA-45,-0.0214,0.012,1.302976732321512,69,CA-45,0,0,0,0,0,3,0,5,CA-45,0,2,2,13,2,15,0,4,10,75,10,79,0,9,12,121,12,130,0,13,16,206,16,219,117474,52377,65097,17004,5139,63725,20064,238,287,5172,1722,315894,NA,NA,NA,NA
Lou Correa,Dem,California,1958,4,Hispanic,Male,0,1,1,0,31606,CA-46,-0.1493,0.007,-0.5575302165863041,66,CA-46,0,6,0,25,0,40,1,61,CA-46,0,4,1,8,1,12,0,21,7,42,7,63,0,34,8,61,8,95,1,53,11,112,12,165,39389,19424,19965,6744,1157,20027,5062,99,157,1240,595,265677,0.6666666666666666,0.25,0.25,0.25
Katie Porter,Dem,California,1974,3,White,Female,0,0,1,NA,219754,CA-47,-0.0328,0.045,0.1493529432958204,50,CA-47,0,6,6,34,7,47,10,92,CA-47,0,6,2,9,2,15,6,34,3,48,9,82,7,47,3,93,10,140,10,92,4,134,14,226,96230,44280,51950,19964,2261,26511,25382,160,195,5064,11875,294789,NA,1,1,1
Darrell Issa,Rep,California,1953,1,Arab,Male,1,1,1,1,92506,CA-48,0.0933,0.019,-0.3287253159930403,71,CA-48,0,0,0,0,0,1,0,1,CA-48,0,0,11,14,11,14,0,0,15,68,15,68,0,1,24,107,24,108,0,1,32,158,32,159,13359,5600,7759,5292,540,5381,971,69,68,520,21,423962,0.75,0.7142857142857143,0.7142857142857143,0.7142857142857143
Mike Levin,Dem,California,1978,2,Hispanic,Male,0,1,1,0,368574,CA-49,-0.0314,0.019,0.7084784819869453,46,CA-49,1,0,1,4,1,13,1,14,CA-49,0,0,10,20,10,20,0,4,19,90,19,94,0,13,26,133,26,146,0,14,36,218,36,232,13925,5854,8071,4211,470,6394,942,46,97,896,132,269966,0.3333333333333333,0.2727272727272727,0.1538461538461539,0.1538461538461539
Scott Peters,Dem,California,1958,2,White,Male,0,0,1,0,153413,CA-50,-0.1438,0.071,-0.09989411598591533,66,CA-50,9,14,12,52,18,80,25,118,CA-50,9,14,1,0,10,14,12,52,1,6,13,58,18,80,1,16,19,96,25,118,1,17,26,135,108404,48893,59511,27221,4517,38707,19784,288,247,6570,8539,218439,0.25,0.125,0.125,0.125
Sara Jacobs,Dem,California,1989,0,Jewish,Female,0,0,1,0,64604,CA-51,-0.1156,0.033,-0.4335547796441609,35,CA-51,1,0,1,0,1,0,1,0,CA-51,1,0,9,14,10,14,1,0,12,54,13,54,1,0,18,83,19,83,1,0,25,121,26,121,165246,68329,96917,55245,19708,52428,16331,680,919,9418,2775,147672,0,0,0,0
Juan Vargas,Dem,California,1961,2,Hispanic,Male,1,1,1,0,325952,CA-52,-0.1828,0.011,0.548345108044645,63,CA-52,0,0,0,2,0,2,0,2,CA-52,0,0,10,14,10,14,0,2,13,52,13,54,0,2,19,81,19,83,0,2,26,119,26,121,25909,13086,12823,3541,1860,14854,2254,61,100,1542,67,287009,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
Diana DeGette,Dem,Colorado,1957,2,White,Female,0,0,1,0,74225,CO-01,-0.2892,0.04,-0.3974081138213729,67,CO-01,3,10,7,54,15,74,24,126,CO-01,3,10,0,1,3,11,7,54,0,6,7,60,15,74,0,10,15,84,24,126,0,24,24,150,63396,29269,34127,30097,5313,18200,2793,602,176,2734,1808,125621,NA,NA,NA,NA
Joe Neguse,Dem,Colorado,1984,2,Black,Male,0,0,1,0,194910,CO-02,-0.175,0.044,0.05601256644296256,40,CO-02,1,2,7,28,15,42,18,59,CO-02,1,2,1,1,2,3,7,28,4,26,11,54,15,42,5,40,20,82,18,59,6,64,24,123,82876,38497,44379,51690,5089,11019,3604,381,121,4735,4428,151245,1,1,1,1
Lauren Boebert,Rep,Colorado,1986,4,White,Female,1,0,0,1,20064,CO-03,0.0706,0.009,-0.6008941929844559,38,CO-03,0,1,3,18,3,29,3,41,CO-03,0,1,8,6,8,7,3,18,18,79,21,97,3,29,29,128,32,157,3,41,36,185,39,226,44651,19224,25427,24370,1386,12141,768,1332,109,1950,436,390865,0.4,0.5714285714285714,0.5714285714285714,0.5714285714285714
Ken Buck,Rep,Colorado,1959,2,White,Male,1,1,NA,NA,70025,CO-04,0.1285,0.012,-0.4131877621381497,65,CO-04,0,0,0,0,0,0,0,0,CO-04,0,0,6,20,6,20,0,0,22,154,22,154,0,0,39,234,39,234,0,0,54,367,54,367,6039,2373,3666,3677,165,1437,310,36,4,167,105,627961,0.8333333333333334,0.8,0.8,0.8
Greg Lopez,Rep,Colorado,1964,2,Hispanic,Male,NA,NA,NA,NA,NA,CO-04,0.1285,0.012,NA,60,CO-04,0,0,0,0,0,0,0,0,CO-04,0,0,6,20,6,20,0,0,22,154,22,154,0,0,39,234,39,234,0,0,54,367,54,367,6039,2373,3666,3677,165,1437,310,36,4,167,105,627961,NA,NA,NA,NA
Doug Lamborn,Rep,Colorado,1954,5,White,Male,1,1,1,1,286725,CO-05,0.0894,0.01,0.4009669498250727,70,CO-05,1,1,3,15,3,24,3,43,CO-05,1,1,0,1,1,2,3,15,3,21,6,36,3,24,3,34,6,58,3,43,3,52,6,95,64116,26499,37617,27214,8399,7262,1717,544,255,3350,410,79912,0.7333333333333333,0.7894736842105263,0.7894736842105263,0.7894736842105263
Jason Crow,Dem,Colorado,1979,2,White,Male,0,0,1,0,227609,CO-06,-0.0901,0.02,0.1788646427073161,45,CO-06,0,1,0,2,0,4,0,7,CO-06,0,1,3,10,3,11,0,2,7,57,7,59,0,4,15,79,15,83,0,7,24,137,24,144,50153,21006,29147,23837,3653,11579,3389,223,109,2654,2894,98657,0.1666666666666667,0.1923076923076923,0.1428571428571428,0.1428571428571428
Brittany Pettersen,Dem,Colorado,1981,2,White,Female,0,0,1,0,98064,CO-07,-0.0389,0.022,-0.3078435813871724,43,CO-07,0,0,0,3,0,5,0,11,CO-07,0,0,5,15,5,15,0,3,20,118,20,121,0,5,36,174,36,179,0,11,48,282,48,293,29222,13761,15461,17818,1789,4742,1145,195,65,1292,755,351438,NA,1,0.5,0.5
Yadira Caraveo,Dem,Colorado,1980,0,Hispanic,Female,0,0,1,0,338079,CO-08,0.004500000000000001,0.007,0.5939069640297765,44,CO-08,0,0,0,1,0,1,0,6,CO-08,0,0,4,12,4,12,0,1,14,85,14,86,0,1,30,121,30,122,0,6,42,196,42,202,40207,16672,23535,21577,925,11387,1196,207,65,1577,592,181533,0,0.3333333333333333,0.25,0.25
John B. Larson,Dem,Connecticut,1948,3,White,Male,0,0,1,0,0,CT-01,-0.1175,0.039,-0.6762758272291726,76,CT-01,3,4,5,12,5,16,9,54,CT-01,3,4,19,13,22,17,5,12,21,55,26,67,5,16,31,97,36,113,9,54,35,156,44,210,54012,20814,33198,21992,8994,14797,2455,145,62,2240,997,157971,0.3,0.2727272727272727,0.2142857142857143,0.2142857142857143
Joe Courtney,Dem,Connecticut,1953,2,White,Male,0,0,1,0,72045,CT-02,-0.0286,0.024,-0.4055985027096047,71,CT-02,11,2,11,3,17,3,18,11,CT-02,11,2,19,30,30,32,11,3,26,141,37,144,17,3,41,282,58,285,18,11,55,442,73,453,36967,16709,20258,19658,2657,5365,3514,44,24,1549,3412,256931,0.3333333333333333,0.6,0.3333333333333333,0.3333333333333333
Rosa DeLauro,Dem,Connecticut,1943,3,White,Female,0,0,1,0,175293,CT-03,-0.0732,0.04,-0.01768966237375425,81,CT-03,3,5,3,24,7,45,9,65,CT-03,3,5,23,8,26,13,3,24,27,18,30,42,7,45,47,25,54,70,9,65,53,72,62,137,51047,21588,29459,22224,5480,8138,4082,108,36,2106,7580,151263,NA,NA,0,0
Jim Himes,Dem,Connecticut,1966,2,White,Male,0,0,1,0,72700,CT-04,-0.1307,0.061,-0.4031376289840121,58,CT-04,8,1,10,1,24,1,25,2,CT-04,8,1,11,9,19,10,10,1,15,51,25,52,24,1,34,99,58,100,25,2,39,139,64,141,26039,10812,15227,14090,2495,4043,855,45,10,586,2978,131065,0.5,0.2727272727272727,0.07142857142857142,0.07142857142857142
Jahana Hayes,Dem,Connecticut,1973,4,Black,Female,0,0,1,0,103307,CT-05,-0.0266,0.032,-0.2881453204050626,51,CT-05,1,1,1,2,1,5,1,5,CT-05,1,1,24,18,25,19,1,2,36,110,37,112,1,5,67,186,68,191,1,5,78,324,79,329,34245,12807,21438,15098,8402,6459,1169,198,84,1771,447,226955,0,0,0,0
Lisa Blunt Rochester,Dem,Delaware,1962,2,Black,Female,0,0,1,0,80435,DE-AL,-0.0674,0.018,-0.3740767766672815,62,DE-00,2,1,2,4,2,12,3,23,DE-AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.4,0.1666666666666667,0.1666666666666667
Matt Gaetz,Rep,Florida,1982,0,White,Male,1,0,0,1,6535,FL-01,0.1931,0.008,-0.6517234458600925,42,FL-01,2,3,3,10,3,13,3,16,FL-01,2,3,4,6,6,9,3,10,5,18,8,28,3,13,5,24,8,37,3,16,6,32,9,48,31321,12200,19121,18359,4258,3826,948,149,89,1979,737,170176,NA,NA,NA,NA
Neal Dunn,Rep,Florida,1953,3,White,Male,1,1,1,1,47938,FL-02,0.077,0.005,-0.4961699269887805,71,FL-02,4,6,5,17,5,21,6,26,FL-02,4,6,8,5,12,11,5,17,9,18,14,35,5,21,9,24,14,45,6,26,10,37,16,63,77685,31911,45774,36964,16772,14529,2173,127,62,3055,2826,276182,NA,NA,0,0
Kat Cammack,Rep,Florida,1988,0,White,Female,1,1,1,1,82838,FL-03,0.0924,0.009,-0.3650485635946113,36,FL-03,4,2,4,8,4,10,5,20,FL-03,4,2,21,12,25,14,4,8,23,35,27,43,4,10,23,41,27,51,5,20,25,54,30,74,88722,37270,51452,43423,7237,18773,7167,148,88,3811,5658,278620,0.7272727272727273,0.75,0.75,0.75
Aaron Bean,Rep,Florida,1967,3,White,Male,1,0,1,1,50879,FL-04,0.0588,0.005,-0.4851204161079137,57,FL-04,8,5,9,14,9,16,9,21,FL-04,8,5,10,3,18,8,9,14,10,11,19,25,9,16,10,13,19,29,9,21,12,24,21,45,30184,11449,18735,12331,8733,3191,925,87,110,3069,1027,207304,0.9,0.875,0.8421052631578947,0.8421052631578947
John Rutherford,Rep,Florida,1952,2,White,Male,1,1,1,1,50754,FL-05,0.1086,0.029,-0.485590048498294,72,FL-05,0,0,0,0,0,0,0,0,FL-05,0,0,12,5,12,5,0,0,13,16,13,16,0,0,13,18,13,18,0,0,13,23,13,23,22676,9723,12953,12188,3548,3497,1079,67,44,1051,678,83161,1,1,1,1
Mike Waltz,Rep,Florida,1974,2,White,Male,1,1,1,1,248618,FL-06,0.1398,0.019,0.2577966978233075,50,FL-06,4,0,4,2,4,2,4,2,FL-06,4,0,16,7,20,7,4,2,17,24,21,26,4,2,17,29,21,31,4,2,18,46,22,48,52977,29557,23420,26411,6655,9430,1816,157,123,2592,2404,166917,NA,NA,0,0
Cory Mills,Rep,Florida,1980,2,White,Male,1,0,0,1,48550,FL-07,0.051,0.028,-0.4938706068054787,44,FL-07,1,0,1,1,1,2,1,2,FL-07,1,0,14,6,15,6,1,1,15,28,16,29,1,2,17,52,18,54,1,2,19,78,20,80,17673,7113,10560,6730,3134,5565,691,40,35,793,342,242401,0.7391304347826086,0.6341463414634146,0.6086956521739131,0.6086956521739131
Bill Posey,Rep,Florida,1947,2,White,Male,1,1,1,1,37250,FL-08,0.1137,0.022,-0.5363253748958544,77,FL-08,2,0,2,0,2,0,2,0,FL-08,2,0,8,6,10,6,2,0,10,27,12,27,2,0,15,53,17,53,2,0,18,79,20,79,24180,10114,14066,12602,2326,4569,743,67,44,1212,1708,237629,0.8,0.625,0.5555555555555556,0.5555555555555556
Darren Soto,Dem,Florida,1978,0,Hispanic,Male,1,1,1,0,258747,FL-09,-0.0805,0.009,0.2958519496806009,46,FL-09,0,0,0,1,0,1,0,2,FL-09,0,0,11,6,11,6,0,1,12,26,12,27,0,1,14,50,14,51,0,2,16,76,16,78,12323,4736,7587,1242,887,8799,66,13,11,172,76,223044,NA,NA,NA,NA
Maxwell Frost,Dem,Florida,1997,0,Black,Male,0,0,0,0,8354,FL-10,-0.143,0.023,-0.6448893553152789,27,FL-10,5,6,6,25,8,49,10,73,FL-10,5,6,6,0,11,6,6,25,6,3,12,28,8,49,6,4,14,53,10,73,6,7,16,80,157582,75820,81762,54204,25071,51607,8792,415,238,7030,7268,61838,NA,-0.3333333333333333,-0.25,-0.25
Daniel Webster,Rep,Florida,1949,6,White,Male,1,1,1,1,79562,FL-11,0.08039999999999999,0.022,-0.3773566892816972,75,FL-11,3,0,3,1,3,1,3,3,FL-11,3,0,15,9,18,9,3,1,16,40,19,41,3,1,18,68,21,69,3,3,21,104,24,107,7662,3509,4153,3657,1120,2110,311,43,14,167,76,434604,NA,1,1,1
Gus Bilirakis,Rep,Florida,1963,4,White,Male,1,1,1,1,14117,FL-12,0.1658,0.013,-0.6232374235891872,61,FL-12,0,0,0,0,0,0,0,0,FL-12,0,0,11,10,11,10,0,0,15,34,15,34,0,0,24,64,24,64,0,0,28,86,28,86,20777,8471,12306,8342,2485,4071,439,37,34,617,861,225617,0.8333333333333334,0.7272727272727273,0.75,0.75
Anna Paulina Luna,Rep,Florida,1989,1,Hispanic,Female,1,1,1,1,28691,FL-13,0.0558,0.023,-0.5684820439299717,35,FL-13,0,0,0,0,8,0,10,0,FL-13,0,0,4,7,4,7,0,0,8,22,8,22,8,0,9,49,17,49,10,0,10,58,20,58,15039,3062,11977,6406,6583,1023,186,129,109,302,160,84041,NA,0,0,0
Kathy Castor,Dem,Florida,1966,2,White,Female,0,1,1,0,93910,FL-14,-0.08130000000000001,0.024,-0.3234504049842892,58,FL-14,4,7,8,22,9,49,10,58,FL-14,4,7,0,1,4,8,8,22,0,3,8,25,9,49,8,4,17,53,10,58,10,5,20,63,63264,24325,38939,28841,9205,16516,2258,151,113,2884,1364,97379,0.8461538461538461,0.8666666666666667,0.8666666666666667,0.8666666666666667
Laurel Lee,Rep,Florida,1974,3,White,Female,1,1,1,1,63737,FL-15,0.0367,0.014,-0.4368121499038384,50,FL-15,0,1,0,3,0,4,0,5,FL-15,0,1,8,7,8,8,0,3,12,23,12,26,0,4,13,50,13,54,0,5,14,61,14,66,50930,21393,29537,21884,4142,11185,4049,63,81,2125,5338,135956,0.7,0.6923076923076923,0.6923076923076923,0.6923076923076923
Vern Buchanan,Rep,Florida,1951,2,White,Male,1,1,1,1,90980,FL-16,0.0699,0.018,-0.3344585882148026,73,FL-16,0,0,0,0,0,0,0,0,FL-16,0,0,8,8,8,8,0,0,20,26,20,26,0,0,30,55,30,55,0,0,33,65,33,65,10633,4155,6478,5380,996,2910,382,56,10,107,345,152571,0.6666666666666666,0.6923076923076923,0.6923076923076923,0.6923076923076923
Greg Steube,Rep,Florida,1978,1,White,Male,1,1,1,1,82905,FL-17,0.1015,0.03,-0.3647968406333675,46,FL-17,3,0,11,1,20,2,22,2,FL-17,3,0,3,1,6,1,11,1,3,3,14,4,20,2,3,4,23,6,22,2,5,4,27,6,4757,1801,2956,2372,438,868,226,17,6,187,457,78677,0.75,0.7058823529411765,0.75,0.75
Scott Franklin,Rep,Florida,1964,3,White,Male,1,1,1,1,49750,FL-18,0.1339,0.007,-0.4893621358578282,60,FL-18,1,0,1,0,1,0,1,0,FL-18,1,0,13,2,14,2,1,0,23,12,24,12,1,0,35,16,36,16,1,0,40,21,41,21,33620,14029,19591,13093,3671,9099,616,132,76,951,1695,198626,1,1,1,1
Byron Donalds,Rep,Florida,1978,3,Hispanic,Male,1,1,1,1,121507,FL-19,0.1291,0.022,-0.2197668443656965,46,FL-19,2,1,2,3,2,4,4,4,FL-19,2,1,4,0,6,1,2,3,12,1,14,4,2,4,21,2,23,6,4,4,23,2,27,6,34424,13793,20631,14413,3235,11017,678,97,39,902,892,51937,0.5,0.5,0.5,0.5
Sheila Cherfilus-McCormick,Dem,Florida,1979,2,Black,Female,0,1,1,0,194793,FL-20,-0.251,0.053,0.05557299052556663,45,FL-20,1,0,1,2,7,3,9,4,FL-20,2,0,12,8,14,8,3,3,18,16,21,19,3,3,40,24,43,27,3,3,46,39,49,42,23726,7140,16586,4403,5382,6906,328,104,41,293,467,197688,NA,1,0.8333333333333334,0.8333333333333334
Brian Mast,Rep,Florida,1980,4,Hispanic,Male,1,1,1,1,700480,FL-21,0.06860000000000001,0.063,1.955468947279356,44,FL-21,1,0,2,0,5,1,6,2,FL-21,1,0,5,0,6,0,2,0,6,3,8,3,5,1,6,3,11,4,6,2,6,3,12,5,16431,6573,9858,5310,2216,7298,252,34,23,417,361,81526,NA,NA,0,0
Lois Frankel,Dem,Florida,1948,0,Jewish,Female,1,1,1,0,675104,FL-22,-0.0726,0.14,1.860129814973039,76,FL-22,3,0,5,1,5,1,5,1,FL-22,1,0,5,4,6,4,2,0,9,13,11,13,2,0,18,18,20,18,2,0,21,31,23,31,32772,12135,20637,8905,8991,10664,865,54,34,932,1217,97882,0.9375,0.9375,0.9487179487179487,0.9487179487179487
Jared Moskowitz,Dem,Florida,1980,0,Jewish,Male,1,1,1,0,397398,FL-23,-0.0481,0.145,0.8167719541495106,44,FL-23,3,4,6,10,15,14,18,26,FL-23,3,4,9,4,12,8,6,10,12,9,18,19,15,15,22,11,37,26,18,28,24,12,42,40,74156,32456,41700,20212,16843,21423,2454,139,113,2543,8542,83647,0.7391304347826086,0.7608695652173914,0.7755102040816326,0.7755102040816326
Frederica Wilson,Dem,Florida,1942,3,Black,Female,1,1,1,0,48150,FL-24,-0.2464,0.104,-0.4953734304546956,82,FL-24,4,0,6,4,23,7,25,8,FL-24,4,0,10,13,14,13,6,4,14,19,20,23,23,7,25,24,48,31,25,8,27,34,52,42,16540,6267,10273,2868,4753,6167,353,24,17,499,1157,136352,0.8518518518518519,0.7222222222222222,0.6136363636363636,0.6136363636363636
Debbie Wasserman Schultz,Dem,Florida,1966,3,Jewish,Female,1,1,1,0,1036534,FL-25,-0.092,0.088,3.218043693814145,58,FL-25,5,4,6,6,10,8,10,9,FL-25,6,4,9,4,15,8,7,6,15,17,22,23,17,8,41,25,58,33,19,9,46,39,65,48,27149,8523,18626,7116,5978,8450,2134,51,66,779,1265,127982,1,1,0.8695652173913043,0.8695652173913043
Mario Díaz-Balart,Rep,Florida,1961,1,Hispanic,Male,1,1,1,1,169039,FL-26,0.08410000000000001,0.005,-0.04118631012925952,63,FL-26,0,0,0,0,0,0,0,0,FL-26,0,0,19,14,19,14,0,0,26,29,26,29,0,0,54,38,54,38,0,0,60,49,60,49,13560,5634,7926,1661,1170,9479,131,23,7,54,868,288718,NA,NA,NA,NA
María Elvira Salazar,Rep,Florida,1961,2,Hispanic,Female,1,1,1,1,250081,FL-27,-0.0015,0.037,0.2632932753203181,63,FL-27,4,9,7,13,8,16,8,25,FL-27,4,9,4,0,8,9,7,13,6,4,13,17,8,16,23,7,31,23,8,25,25,8,33,33,95643,41354,54289,10837,10770,62434,1714,50,51,1281,7048,87716,0.625,0.6666666666666666,0.6111111111111112,0.6111111111111112
Carlos A. Giménez,Rep,Florida,1954,3,Hispanic,Male,1,1,1,1,233687,FL-28,0.0237,0.015,0.201700048057166,70,FL-28,0,0,0,0,0,0,0,0,FL-28,0,0,4,9,4,9,0,0,7,13,7,13,0,0,8,16,8,16,0,0,8,25,8,25,57616,25501,32115,5855,6613,37168,1568,30,28,1139,4737,109203,NA,1,0.3333333333333333,0.3333333333333333
Buddy Carter,Rep,Georgia,1957,3,White,Male,1,1,1,1,62701,GA-01,0.0919,0.006,-0.44070446315531,67,GA-01,2,1,2,1,2,1,3,2,GA-01,2,1,20,12,22,13,2,1,22,40,24,41,2,1,23,49,25,50,3,2,24,69,27,71,42929,13292,29637,17536,12390,4157,1349,285,124,1116,4032,313861,0.8571428571428571,0.9333333333333333,0.9333333333333333,0.9333333333333333
Sanford Bishop,Dem,Georgia,1947,1,Black,Male,0,0,1,0,82302,GA-02,-0.0311,0.001,-0.3670623472845619,77,GA-02,2,0,3,1,3,2,3,2,GA-02,2,0,4,6,6,6,2,0,6,18,8,18,2,1,6,23,8,24,2,1,7,28,9,29,54230,19691,34539,18952,25552,3930,1497,114,64,1820,1100,270592,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
Drew Ferguson,Rep,Georgia,1966,6,White,Male,1,1,1,1,50200,GA-03,0.1799,0.006,-0.4876714592524593,58,GA-03,0,0,0,0,0,0,0,0,GA-03,0,0,4,3,4,3,0,0,6,11,6,11,0,0,6,14,6,14,0,0,8,21,8,21,33864,11450,22414,16151,11699,3082,511,63,26,1432,289,231037,NA,0,0,0
Hank Johnson,Dem,Georgia,1954,2,Black,Male,0,0,0,0,114300,GA-04,-0.2663,0.024,-0.2468439694654609,70,GA-04,0,0,0,0,0,0,0,0,GA-04,0,0,13,14,13,14,0,0,18,58,18,58,0,0,27,83,27,83,0,0,31,119,31,119,23266,9179,14087,4075,12088,3641,1481,50,27,899,354,227331,NA,-1,-1,-1
Nikema Williams,Dem,Georgia,1978,1,Black,Female,0,0,1,0,103590,GA-05,-0.3165,0.033,-0.2870820726732417,46,GA-05,9,11,10,47,13,71,15,98,GA-05,9,11,2,0,11,11,10,47,5,1,15,48,13,71,11,1,24,72,15,98,11,2,26,100,151582,73251,78331,32451,47425,14432,25820,225,97,5864,20508,92634,NA,NA,NA,NA
Rich McCormick,Rep,Georgia,1968,0,White,Male,1,1,1,1,48500,GA-06,0.1108,0.028,-0.4940584597616309,56,GA-06,1,0,4,1,10,1,10,1,GA-06,1,0,11,11,12,11,4,1,12,47,16,48,10,1,15,71,25,72,10,1,17,101,27,102,4428,1512,2916,472,2868,641,136,30,7,142,12,292219,0.5882352941176471,0.64,0.64,0.64
Lucy McBath,Dem,Georgia,1960,2,Black,Female,0,1,1,0,75415,GA-07,-0.0964,0.042,-0.3929372134649528,64,GA-07,1,0,1,0,1,0,1,2,GA-07,1,0,3,3,4,3,1,0,7,11,8,11,1,0,13,12,14,12,1,2,15,19,16,21,20802,8647,12155,13366,1443,3378,878,43,23,680,245,109842,0.6,0.6,0.6,0.6
Austin Scott,Rep,Georgia,1969,3,White,Male,1,1,1,1,52200,GA-08,0.1638,0.001,-0.4801573410063751,55,GA-08,0,0,0,0,0,0,0,0,GA-08,0,0,15,12,15,12,0,0,17,38,17,38,0,0,17,46,17,46,0,0,22,70,22,70,46406,16504,29902,23156,15497,4151,764,171,49,1432,345,399675,1,1,0.5,0.5
Andrew Clyde,Rep,Georgia,1963,0,White,Male,1,0,0,1,500,GA-09,0.2226,0.007,-0.6743972976676516,61,GA-09,0,0,0,0,0,0,0,0,GA-09,0,0,7,5,7,5,0,0,12,26,12,26,0,0,18,35,18,35,0,0,25,62,25,62,33336,12624,20712,15331,6557,6787,2004,108,34,1139,726,293808,NA,NA,NA,NA
Mike Collins,Rep,Georgia,1967,3,White,Male,1,1,1,1,20,GA-10,0.146,0.004,-0.6762006860467117,57,GA-10,2,3,3,10,3,11,5,18,GA-10,2,3,2,0,4,3,3,10,3,2,6,12,3,11,3,2,6,13,5,18,4,9,9,27,48812,19958,28854,30181,4193,4145,5003,56,29,2023,2613,267436,NA,NA,NA,NA
Barry Loudermilk,Rep,Georgia,1963,3,White,Male,1,1,1,1,76700,GA-11,0.1103,0.027,-0.3881093924918437,61,GA-11,1,0,1,0,1,0,1,1,GA-11,1,0,10,11,11,11,1,0,14,48,15,48,1,0,23,72,24,72,1,1,25,99,26,100,63233,30173,33060,25448,17514,10541,3239,160,47,2783,1956,213801,0.4,0.4,0,0
Rick Allen,Rep,Georgia,1951,4,White,Male,1,1,1,1,45550,GA-12,0.07519999999999999,0.003,-0.505141784174605,73,GA-12,1,0,1,2,1,2,1,3,GA-12,1,0,11,9,12,9,1,2,14,27,15,29,1,2,15,33,16,35,1,3,19,49,20,52,53433,20387,33046,26429,15687,4044,1742,135,77,2329,947,304363,0.875,0.8888888888888888,0.8888888888888888,0.8888888888888888
David Scott,Dem,Georgia,1945,2,Black,Male,0,1,1,0,117950,GA-13,-0.2787,0.006,-0.2331307036663572,79,GA-13,0,0,0,0,0,0,0,0,GA-13,0,0,12,14,12,14,0,0,14,57,14,57,0,0,17,82,17,82,0,0,21,117,21,117,1707,485,1222,402,571,171,335,0,0,47,138,343505,NA,NA,NA,NA
Marjorie Taylor Greene,Rep,Georgia,1974,3,White,Female,0,0,0,1,2250,GA-14,0.2177,0.004,-0.6678224442023278,50,GA-14,0,0,0,0,0,0,0,0,GA-14,0,0,3,2,3,2,0,0,4,7,4,7,0,0,4,14,4,14,0,0,5,19,5,19,22748,8476,14272,13557,2196,5226,352,60,16,780,226,334693,NA,-0.25,-0.2,-0.2
James Moylan,Rep,Guam,1962,2,Hispanic,Male,NA,NA,NA,NA,NA,GU-NA,NA,NA,NA,62,GU-NA,0,0,0,0,0,0,0,0,GU-NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
Ed Case,Dem,Hawaii,1952,2,White,Male,0,0,1,0,42750,HI-01,-0.136,0.005,-0.5156615497191229,72,HI-01,0,1,0,11,0,19,1,26,HI-01,0,1,0,0,0,1,0,11,0,6,0,17,0,19,5,16,5,35,1,26,6,31,7,57,46800,17938,28862,7264,964,6770,14530,99,2221,11821,2112,14814,0,0,0.25,0.25
Jill Tokuda,Dem,Hawaii,1976,2,Asian,Female,0,0,0,0,12500,HI-02,-0.137,0.008,-0.6293125881911463,48,HI-02,0,0,0,12,6,33,7,55,HI-02,0,0,0,1,0,1,0,6,0,11,0,17,5,16,0,19,5,35,6,31,1,26,7,57,14814,5522,9292,2311,121,2216,2490,48,1044,4337,2000,46800,-0.3333333333333333,-0.3333333333333333,-0.2857142857142857,-0.2857142857142857
Russ Fulcher,Rep,Idaho,1962,3,White,Male,1,1,1,1,15900,ID-01,0.2218,0.004,-0.6165385871728032,62,ID-01,0,0,0,1,0,1,0,4,ID-01,0,0,41,11,41,11,0,1,45,85,45,86,0,1,45,128,45,129,0,4,50,225,50,229,35841,15932,19909,24499,471,4297,632,416,93,1635,1187,266996,1,1,0.8333333333333334,0.8333333333333334
